species,scientific_name,start_time,end_time,confidence,label,File,timestamp_str,duration
Tropical Mockingbird,Mimus gilvus,18.0,21.0,0.2126515805721283,Mimus gilvus_Tropical Mockingbird,20250610_115300.WAV,20250610_115300,3.0
Northern Mockingbird,Mimus polyglottos,21.0,24.0,0.4049573838710785,Mimus polyglottos_Northern Mockingbird,20250610_115300.WAV,20250610_115300,3.0
Western Bluebird,Sialia mexicana,21.0,24.0,0.10775735974311829,Sialia mexicana_Western Bluebird,20250610_115300.WAV,20250610_115300,3.0
Eastern Bluebird,Sialia sialis,24.0,27.0,0.26545587182044983,Sialia sialis_Eastern Bluebird,20250610_115300.WAV,20250610_115300,3.0
Western Bluebird,Sialia mexicana,24.0,27.0,0.23884905874729156,Sialia mexicana_Western Bluebird,20250610_115300.WAV,20250610_115300,3.0
Northern Mockingbird,Mimus polyglottos,27.0,30.0,0.12410317361354828,Mimus polyglottos_Northern Mockingbird,20250610_115300.WAV,20250610_115300,3.0
Eastern Bluebird,Sialia sialis,30.0,33.0,0.1940670609474182,Sialia sialis_Eastern Bluebird,20250610_115300.WAV,20250610_115300,3.0
Northern Mockingbird,Mimus polyglottos,36.0,39.0,0.12136083841323853,Mimus polyglottos_Northern Mockingbird,20250610_115300.WAV,20250610_115300,3.0
Northern Mockingbird,Mimus polyglottos,39.0,42.0,0.21897245943546295,Mimus polyglottos_Northern Mockingbird,20250610_115300.WAV,20250610_115300,3.0
Blue Jay,Cyanocitta cristata,39.0,42.0,0.20876538753509521,Cyanocitta cristata_Blue Jay,20250610_115300.WAV,20250610_115300,3.0
Ruby-throated Hummingbird,Archilochus colubris,39.0,42.0,0.19489073753356934,Archilochus colubris_Ruby-throated Hummingbird,20250610_115300.WAV,20250610_115300,3.0
Red-shouldered Hawk,Buteo lineatus,45.0,48.0,0.2078787088394165,Buteo lineatus_Red-shouldered Hawk,20250610_115300.WAV,20250610_115300,3.0
Belted Kingfisher,Megaceryle alcyon,45.0,48.0,0.13321171700954437,Megaceryle alcyon_Belted Kingfisher,20250610_115300.WAV,20250610_115300,3.0
Red-bellied Woodpecker,Melanerpes carolinus,45.0,48.0,0.10031687468290329,Melanerpes carolinus_Red-bellied Woodpecker,20250610_115300.WAV,20250610_115300,3.0
Northern Mockingbird,Mimus polyglottos,0.0,3.0,0.5058648586273193,Mimus polyglottos_Northern Mockingbird,20250610_115400.WAV,20250610_115400,3.0
Tropical Mockingbird,Mimus gilvus,0.0,3.0,0.1208171471953392,Mimus gilvus_Tropical Mockingbird,20250610_115400.WAV,20250610_115400,3.0
Red-shouldered Hawk,Buteo lineatus,6.0,9.0,0.4523281753063202,Buteo lineatus_Red-shouldered Hawk,20250610_115400.WAV,20250610_115400,3.0
Blue Jay,Cyanocitta cristata,6.0,9.0,0.15002503991127014,Cyanocitta cristata_Blue Jay,20250610_115400.WAV,20250610_115400,3.0
Engine,Engine,12.0,15.0,0.10792623460292816,Engine_Engine,20250610_115400.WAV,20250610_115400,3.0
Blue Jay,Cyanocitta cristata,15.0,18.0,0.13949619233608246,Cyanocitta cristata_Blue Jay,20250610_115400.WAV,20250610_115400,3.0
American Robin,Turdus migratorius,18.0,21.0,0.11992213129997253,Turdus migratorius_American Robin,20250610_115400.WAV,20250610_115400,3.0
American Robin,Turdus migratorius,21.0,24.0,0.2403060644865036,Turdus migratorius_American Robin,20250610_115400.WAV,20250610_115400,3.0
American Robin,Turdus migratorius,24.0,27.0,0.3514917492866516,Turdus migratorius_American Robin,20250610_115400.WAV,20250610_115400,3.0
American Robin,Turdus migratorius,27.0,30.0,0.9145224690437317,Turdus migratorius_American Robin,20250610_115400.WAV,20250610_115400,3.0
Red-shouldered Hawk,Buteo lineatus,30.0,33.0,0.36283260583877563,Buteo lineatus_Red-shouldered Hawk,20250610_115400.WAV,20250610_115400,3.0
American Robin,Turdus migratorius,30.0,33.0,0.10951822251081467,Turdus migratorius_American Robin,20250610_115400.WAV,20250610_115400,3.0
Tufted Titmouse,Baeolophus bicolor,33.0,36.0,0.13892561197280884,Baeolophus bicolor_Tufted Titmouse,20250610_115400.WAV,20250610_115400,3.0
Tufted Titmouse,Baeolophus bicolor,36.0,39.0,0.30062511563301086,Baeolophus bicolor_Tufted Titmouse,20250610_115400.WAV,20250610_115400,3.0
Tufted Titmouse,Baeolophus bicolor,39.0,42.0,0.2434014528989792,Baeolophus bicolor_Tufted Titmouse,20250610_115400.WAV,20250610_115400,3.0
Yellow-billed Cuckoo,Coccyzus americanus,42.0,45.0,0.2940713167190552,Coccyzus americanus_Yellow-billed Cuckoo,20250610_115400.WAV,20250610_115400,3.0
White-winged Dove,Zenaida asiatica,42.0,45.0,0.137420192360878,Zenaida asiatica_White-winged Dove,20250610_115400.WAV,20250610_115400,3.0
Tufted Titmouse,Baeolophus bicolor,45.0,48.0,0.1614043265581131,Baeolophus bicolor_Tufted Titmouse,20250610_115400.WAV,20250610_115400,3.0
Northern Mockingbird,Mimus polyglottos,48.0,51.0,0.3582909405231476,Mimus polyglottos_Northern Mockingbird,20250610_115400.WAV,20250610_115400,3.0
Tropical Mockingbird,Mimus gilvus,48.0,51.0,0.2592550218105316,Mimus gilvus_Tropical Mockingbird,20250610_115400.WAV,20250610_115400,3.0
Crissal Thrasher,Toxostoma crissale,48.0,51.0,0.2351648360490799,Toxostoma crissale_Crissal Thrasher,20250610_115400.WAV,20250610_115400,3.0
Northern Mockingbird,Mimus polyglottos,51.0,54.0,0.5762940049171448,Mimus polyglottos_Northern Mockingbird,20250610_115400.WAV,20250610_115400,3.0
Tufted Titmouse,Baeolophus bicolor,51.0,54.0,0.197048157453537,Baeolophus bicolor_Tufted Titmouse,20250610_115400.WAV,20250610_115400,3.0
Tropical Mockingbird,Mimus gilvus,51.0,54.0,0.18413996696472168,Mimus gilvus_Tropical Mockingbird,20250610_115400.WAV,20250610_115400,3.0
Tropical Mockingbird,Mimus gilvus,0.0,3.0,0.10890751332044601,Mimus gilvus_Tropical Mockingbird,20250610_115500.WAV,20250610_115500,3.0
European Greenfinch,Chloris chloris,0.0,3.0,0.10215162485837936,Chloris chloris_European Greenfinch,20250610_115500.WAV,20250610_115500,3.0
Water Rail,Rallus aquaticus,6.0,9.0,0.19491401314735413,Rallus aquaticus_Water Rail,20250610_115500.WAV,20250610_115500,3.0
Tropical Mockingbird,Mimus gilvus,9.0,12.0,0.11027413606643677,Mimus gilvus_Tropical Mockingbird,20250610_115500.WAV,20250610_115500,3.0
Northern Mockingbird,Mimus polyglottos,12.0,15.0,0.11740518361330032,Mimus polyglottos_Northern Mockingbird,20250610_115500.WAV,20250610_115500,3.0
Northern Mockingbird,Mimus polyglottos,15.0,18.0,0.3225487172603607,Mimus polyglottos_Northern Mockingbird,20250610_115500.WAV,20250610_115500,3.0
Tropical Mockingbird,Mimus gilvus,15.0,18.0,0.13072611391544342,Mimus gilvus_Tropical Mockingbird,20250610_115500.WAV,20250610_115500,3.0
Northern Mockingbird,Mimus polyglottos,18.0,21.0,0.2410239726305008,Mimus polyglottos_Northern Mockingbird,20250610_115500.WAV,20250610_115500,3.0
Crissal Thrasher,Toxostoma crissale,18.0,21.0,0.11406015604734421,Toxostoma crissale_Crissal Thrasher,20250610_115500.WAV,20250610_115500,3.0
Red-shouldered Hawk,Buteo lineatus,30.0,33.0,0.9427697658538818,Buteo lineatus_Red-shouldered Hawk,20250610_115500.WAV,20250610_115500,3.0
Northern Mockingbird,Mimus polyglottos,36.0,39.0,0.33944034576416016,Mimus polyglottos_Northern Mockingbird,20250610_115500.WAV,20250610_115500,3.0
Tropical Mockingbird,Mimus gilvus,36.0,39.0,0.14565832912921906,Mimus gilvus_Tropical Mockingbird,20250610_115500.WAV,20250610_115500,3.0
European Starling,Sturnus vulgaris,42.0,45.0,0.1075090765953064,Sturnus vulgaris_European Starling,20250610_115500.WAV,20250610_115500,3.0
Northern Mockingbird,Mimus polyglottos,45.0,48.0,0.2093159258365631,Mimus polyglottos_Northern Mockingbird,20250610_115500.WAV,20250610_115500,3.0
Common Nighthawk,Chordeiles minor,45.0,48.0,0.1548175811767578,Chordeiles minor_Common Nighthawk,20250610_115500.WAV,20250610_115500,3.0
Couch's Kingbird,Tyrannus couchii,45.0,48.0,0.12532146275043488,Tyrannus couchii_Couch's Kingbird,20250610_115500.WAV,20250610_115500,3.0
Painted Bunting,Passerina ciris,0.0,3.0,0.10600321739912033,Passerina ciris_Painted Bunting,20250610_115600.WAV,20250610_115600,3.0
Tufted Titmouse,Baeolophus bicolor,6.0,9.0,0.16454541683197021,Baeolophus bicolor_Tufted Titmouse,20250610_115600.WAV,20250610_115600,3.0
Tufted Titmouse,Baeolophus bicolor,9.0,12.0,0.6101194620132446,Baeolophus bicolor_Tufted Titmouse,20250610_115600.WAV,20250610_115600,3.0
Carolina Wren,Thryothorus ludovicianus,9.0,12.0,0.37518754601478577,Thryothorus ludovicianus_Carolina Wren,20250610_115600.WAV,20250610_115600,3.0
Ryukyu Robin,Larvivora komadori,9.0,12.0,0.27794158458709717,Larvivora komadori_Ryukyu Robin,20250610_115600.WAV,20250610_115600,3.0
Northern Mockingbird,Mimus polyglottos,9.0,12.0,0.2687853276729584,Mimus polyglottos_Northern Mockingbird,20250610_115600.WAV,20250610_115600,3.0
Black-crested Titmouse,Baeolophus atricristatus,9.0,12.0,0.21040891110897064,Baeolophus atricristatus_Black-crested Titmouse,20250610_115600.WAV,20250610_115600,3.0
Northern Mockingbird,Mimus polyglottos,12.0,15.0,0.2475268542766571,Mimus polyglottos_Northern Mockingbird,20250610_115600.WAV,20250610_115600,3.0
Tufted Titmouse,Baeolophus bicolor,12.0,15.0,0.1542903482913971,Baeolophus bicolor_Tufted Titmouse,20250610_115600.WAV,20250610_115600,3.0
Ruby-throated Hummingbird,Archilochus colubris,15.0,18.0,0.16770821809768677,Archilochus colubris_Ruby-throated Hummingbird,20250610_115600.WAV,20250610_115600,3.0
Mississippi Kite,Ictinia mississippiensis,21.0,24.0,0.7069305777549744,Ictinia mississippiensis_Mississippi Kite,20250610_115600.WAV,20250610_115600,3.0
Mississippi Kite,Ictinia mississippiensis,24.0,27.0,0.9763428568840027,Ictinia mississippiensis_Mississippi Kite,20250610_115600.WAV,20250610_115600,3.0
Eastern Wood-Pewee,Contopus virens,24.0,27.0,0.16563668847084045,Contopus virens_Eastern Wood-Pewee,20250610_115600.WAV,20250610_115600,3.0
Mississippi Kite,Ictinia mississippiensis,27.0,30.0,0.8225980997085571,Ictinia mississippiensis_Mississippi Kite,20250610_115600.WAV,20250610_115600,3.0
Eastern Wood-Pewee,Contopus virens,27.0,30.0,0.15461121499538422,Contopus virens_Eastern Wood-Pewee,20250610_115600.WAV,20250610_115600,3.0
Northern Mockingbird,Mimus polyglottos,30.0,33.0,0.14555032551288605,Mimus polyglottos_Northern Mockingbird,20250610_115600.WAV,20250610_115600,3.0
Buff-bellied Hummingbird,Amazilia yucatanensis,36.0,39.0,0.17903253436088562,Amazilia yucatanensis_Buff-bellied Hummingbird,20250610_115600.WAV,20250610_115600,3.0
Northern Cardinal,Cardinalis cardinalis,36.0,39.0,0.16437119245529175,Cardinalis cardinalis_Northern Cardinal,20250610_115600.WAV,20250610_115600,3.0
Swallow-tailed Kite,Elanoides forficatus,51.0,54.0,0.11928986012935638,Elanoides forficatus_Swallow-tailed Kite,20250610_115600.WAV,20250610_115600,3.0
Eastern Phoebe,Sayornis phoebe,3.0,6.0,0.5079502463340759,Sayornis phoebe_Eastern Phoebe,20250610_115700.WAV,20250610_115700,3.0
Painted Bunting,Passerina ciris,6.0,9.0,0.11117826402187347,Passerina ciris_Painted Bunting,20250610_115700.WAV,20250610_115700,3.0
Painted Bunting,Passerina ciris,12.0,15.0,0.1405748724937439,Passerina ciris_Painted Bunting,20250610_115700.WAV,20250610_115700,3.0
Northern Mockingbird,Mimus polyglottos,12.0,15.0,0.11283499002456665,Mimus polyglottos_Northern Mockingbird,20250610_115700.WAV,20250610_115700,3.0
Northern Mockingbird,Mimus polyglottos,15.0,18.0,0.15606610476970673,Mimus polyglottos_Northern Mockingbird,20250610_115700.WAV,20250610_115700,3.0
Northern Mockingbird,Mimus polyglottos,18.0,21.0,0.10624024271965027,Mimus polyglottos_Northern Mockingbird,20250610_115700.WAV,20250610_115700,3.0
Rufous-capped Warbler,Basileuterus rufifrons,30.0,33.0,0.10195711255073547,Basileuterus rufifrons_Rufous-capped Warbler,20250610_115700.WAV,20250610_115700,3.0
Northern Mockingbird,Mimus polyglottos,33.0,36.0,0.2296338975429535,Mimus polyglottos_Northern Mockingbird,20250610_115700.WAV,20250610_115700,3.0
Northern Cardinal,Cardinalis cardinalis,33.0,36.0,0.14580759406089783,Cardinalis cardinalis_Northern Cardinal,20250610_115700.WAV,20250610_115700,3.0
Carolina Wren,Thryothorus ludovicianus,42.0,45.0,0.3958476483821869,Thryothorus ludovicianus_Carolina Wren,20250610_115700.WAV,20250610_115700,3.0
Northern Mockingbird,Mimus polyglottos,42.0,45.0,0.11721719056367874,Mimus polyglottos_Northern Mockingbird,20250610_115700.WAV,20250610_115700,3.0
Blue Jay,Cyanocitta cristata,0.0,3.0,0.13316795229911804,Cyanocitta cristata_Blue Jay,20250610_115800.WAV,20250610_115800,3.0
Northern Mockingbird,Mimus polyglottos,6.0,9.0,0.8100969195365906,Mimus polyglottos_Northern Mockingbird,20250610_115800.WAV,20250610_115800,3.0
Northern Mockingbird,Mimus polyglottos,9.0,12.0,0.27247631549835205,Mimus polyglottos_Northern Mockingbird,20250610_115800.WAV,20250610_115800,3.0
Northern Mockingbird,Mimus polyglottos,12.0,15.0,0.3546110987663269,Mimus polyglottos_Northern Mockingbird,20250610_115800.WAV,20250610_115800,3.0
Blue Jay,Cyanocitta cristata,18.0,21.0,0.6524112820625305,Cyanocitta cristata_Blue Jay,20250610_115800.WAV,20250610_115800,3.0
Blue Jay,Cyanocitta cristata,21.0,24.0,0.1295652985572815,Cyanocitta cristata_Blue Jay,20250610_115800.WAV,20250610_115800,3.0
Black-throated Magpie-Jay,Calocitta colliei,21.0,24.0,0.1147531047463417,Calocitta colliei_Black-throated Magpie-Jay,20250610_115800.WAV,20250610_115800,3.0
Carolina Wren,Thryothorus ludovicianus,30.0,33.0,0.5719610452651978,Thryothorus ludovicianus_Carolina Wren,20250610_115800.WAV,20250610_115800,3.0
Prothonotary Warbler,Protonotaria citrea,33.0,36.0,0.21078866720199585,Protonotaria citrea_Prothonotary Warbler,20250610_115800.WAV,20250610_115800,3.0
Eastern Bluebird,Sialia sialis,36.0,39.0,0.23305241763591766,Sialia sialis_Eastern Bluebird,20250610_115800.WAV,20250610_115800,3.0
Blue Jay,Cyanocitta cristata,39.0,42.0,0.21873202919960022,Cyanocitta cristata_Blue Jay,20250610_115800.WAV,20250610_115800,3.0
Northern Mockingbird,Mimus polyglottos,39.0,42.0,0.21305444836616516,Mimus polyglottos_Northern Mockingbird,20250610_115800.WAV,20250610_115800,3.0
Red-shouldered Hawk,Buteo lineatus,39.0,42.0,0.13163745403289795,Buteo lineatus_Red-shouldered Hawk,20250610_115800.WAV,20250610_115800,3.0
Blue Jay,Cyanocitta cristata,45.0,48.0,0.26317843794822693,Cyanocitta cristata_Blue Jay,20250610_115800.WAV,20250610_115800,3.0
Red-tailed Hawk,Buteo jamaicensis,45.0,48.0,0.12220399081707001,Buteo jamaicensis_Red-tailed Hawk,20250610_115800.WAV,20250610_115800,3.0
Red-tailed Hawk,Buteo jamaicensis,48.0,51.0,0.18686002492904663,Buteo jamaicensis_Red-tailed Hawk,20250610_115800.WAV,20250610_115800,3.0
Carolina Wren,Thryothorus ludovicianus,51.0,54.0,0.25551971793174744,Thryothorus ludovicianus_Carolina Wren,20250610_115800.WAV,20250610_115800,3.0
Tropical Mockingbird,Mimus gilvus,0.0,3.0,0.11367228627204895,Mimus gilvus_Tropical Mockingbird,20250610_115900.WAV,20250610_115900,3.0
Northern Mockingbird,Mimus polyglottos,0.0,3.0,0.10685974359512329,Mimus polyglottos_Northern Mockingbird,20250610_115900.WAV,20250610_115900,3.0
Gray Flycatcher,Empidonax wrightii,3.0,6.0,0.15604110062122345,Empidonax wrightii_Gray Flycatcher,20250610_115900.WAV,20250610_115900,3.0
Least Flycatcher,Empidonax minimus,3.0,6.0,0.14171674847602844,Empidonax minimus_Least Flycatcher,20250610_115900.WAV,20250610_115900,3.0
Brown Thrasher,Toxostoma rufum,6.0,9.0,0.1517357975244522,Toxostoma rufum_Brown Thrasher,20250610_115900.WAV,20250610_115900,3.0
Northern Cardinal,Cardinalis cardinalis,12.0,15.0,0.2102791666984558,Cardinalis cardinalis_Northern Cardinal,20250610_115900.WAV,20250610_115900,3.0
Northern Mockingbird,Mimus polyglottos,15.0,18.0,0.18547199666500092,Mimus polyglottos_Northern Mockingbird,20250610_115900.WAV,20250610_115900,3.0
Gray Catbird,Dumetella carolinensis,18.0,21.0,0.1404634267091751,Dumetella carolinensis_Gray Catbird,20250610_115900.WAV,20250610_115900,3.0
Brush Cuckoo,Cacomantis variolosus,21.0,24.0,0.219182088971138,Cacomantis variolosus_Brush Cuckoo,20250610_115900.WAV,20250610_115900,3.0
Gray-crowned Flycatcher,Tolmomyias poliocephalus,21.0,24.0,0.17500287294387817,Tolmomyias poliocephalus_Gray-crowned Flycatcher,20250610_115900.WAV,20250610_115900,3.0
Great Tit,Parus major,27.0,30.0,0.616814911365509,Parus major_Great Tit,20250610_115900.WAV,20250610_115900,3.0
Booted Eagle,Hieraaetus pennatus,27.0,30.0,0.11916687339544296,Hieraaetus pennatus_Booted Eagle,20250610_115900.WAV,20250610_115900,3.0
Bald Eagle,Haliaeetus leucocephalus,27.0,30.0,0.10678038001060486,Haliaeetus leucocephalus_Bald Eagle,20250610_115900.WAV,20250610_115900,3.0
Gray-backed Tailorbird,Orthotomus derbianus,33.0,36.0,0.38886722922325134,Orthotomus derbianus_Gray-backed Tailorbird,20250610_115900.WAV,20250610_115900,3.0
White-throated Thrush,Turdus assimilis,33.0,36.0,0.11430666595697403,Turdus assimilis_White-throated Thrush,20250610_115900.WAV,20250610_115900,3.0
Red-shouldered Hawk,Buteo lineatus,36.0,39.0,0.14609363675117493,Buteo lineatus_Red-shouldered Hawk,20250610_115900.WAV,20250610_115900,3.0
American Robin,Turdus migratorius,36.0,39.0,0.13381056487560272,Turdus migratorius_American Robin,20250610_115900.WAV,20250610_115900,3.0
American Robin,Turdus migratorius,39.0,42.0,0.2069980949163437,Turdus migratorius_American Robin,20250610_115900.WAV,20250610_115900,3.0
Tufted Titmouse,Baeolophus bicolor,45.0,48.0,0.13318735361099243,Baeolophus bicolor_Tufted Titmouse,20250610_115900.WAV,20250610_115900,3.0
Carolina Wren,Thryothorus ludovicianus,48.0,51.0,0.38242170214653015,Thryothorus ludovicianus_Carolina Wren,20250610_115900.WAV,20250610_115900,3.0
Prothonotary Warbler,Protonotaria citrea,51.0,54.0,0.18722139298915863,Protonotaria citrea_Prothonotary Warbler,20250610_115900.WAV,20250610_115900,3.0
Tufted Titmouse,Baeolophus bicolor,51.0,54.0,0.1158929243683815,Baeolophus bicolor_Tufted Titmouse,20250610_115900.WAV,20250610_115900,3.0
Carolina Wren,Thryothorus ludovicianus,6.0,9.0,0.6812112331390381,Thryothorus ludovicianus_Carolina Wren,20250610_120000.WAV,20250610_120000,3.0
Carolina Wren,Thryothorus ludovicianus,9.0,12.0,0.8491511344909668,Thryothorus ludovicianus_Carolina Wren,20250610_120000.WAV,20250610_120000,3.0
Carolina Wren,Thryothorus ludovicianus,15.0,18.0,0.6436318159103394,Thryothorus ludovicianus_Carolina Wren,20250610_120000.WAV,20250610_120000,3.0
Carolina Wren,Thryothorus ludovicianus,18.0,21.0,0.3010924756526947,Thryothorus ludovicianus_Carolina Wren,20250610_120000.WAV,20250610_120000,3.0
Prothonotary Warbler,Protonotaria citrea,21.0,24.0,0.2691134214401245,Protonotaria citrea_Prothonotary Warbler,20250610_120000.WAV,20250610_120000,3.0
Tufted Titmouse,Baeolophus bicolor,27.0,30.0,0.411991149187088,Baeolophus bicolor_Tufted Titmouse,20250610_120000.WAV,20250610_120000,3.0
Carolina Wren,Thryothorus ludovicianus,27.0,30.0,0.1997421681880951,Thryothorus ludovicianus_Carolina Wren,20250610_120000.WAV,20250610_120000,3.0
Northern Mockingbird,Mimus polyglottos,30.0,33.0,0.29978054761886597,Mimus polyglottos_Northern Mockingbird,20250610_120000.WAV,20250610_120000,3.0
Carolina Wren,Thryothorus ludovicianus,36.0,39.0,0.18720701336860657,Thryothorus ludovicianus_Carolina Wren,20250610_120000.WAV,20250610_120000,3.0
Northern Mockingbird,Mimus polyglottos,36.0,39.0,0.17702938616275787,Mimus polyglottos_Northern Mockingbird,20250610_120000.WAV,20250610_120000,3.0
Song Thrush,Turdus philomelos,36.0,39.0,0.1184781864285469,Turdus philomelos_Song Thrush,20250610_120000.WAV,20250610_120000,3.0
Carolina Wren,Thryothorus ludovicianus,39.0,42.0,0.23923197388648987,Thryothorus ludovicianus_Carolina Wren,20250610_120000.WAV,20250610_120000,3.0
Purple Finch,Haemorhous purpureus,45.0,48.0,0.274982750415802,Haemorhous purpureus_Purple Finch,20250610_120000.WAV,20250610_120000,3.0
Greater Yellowlegs,Tringa melanoleuca,48.0,51.0,0.12494228780269623,Tringa melanoleuca_Greater Yellowlegs,20250610_120000.WAV,20250610_120000,3.0
Carolina Wren,Thryothorus ludovicianus,0.0,3.0,0.5870097279548645,Thryothorus ludovicianus_Carolina Wren,20250610_120100.WAV,20250610_120100,3.0
Northern Mockingbird,Mimus polyglottos,0.0,3.0,0.305717796087265,Mimus polyglottos_Northern Mockingbird,20250610_120100.WAV,20250610_120100,3.0
Northern Mockingbird,Mimus polyglottos,3.0,6.0,0.4610508382320404,Mimus polyglottos_Northern Mockingbird,20250610_120100.WAV,20250610_120100,3.0
Carolina Wren,Thryothorus ludovicianus,3.0,6.0,0.23194865882396698,Thryothorus ludovicianus_Carolina Wren,20250610_120100.WAV,20250610_120100,3.0
Northern Mockingbird,Mimus polyglottos,6.0,9.0,0.8419860601425171,Mimus polyglottos_Northern Mockingbird,20250610_120100.WAV,20250610_120100,3.0
Tropical Mockingbird,Mimus gilvus,6.0,9.0,0.5295870900154114,Mimus gilvus_Tropical Mockingbird,20250610_120100.WAV,20250610_120100,3.0
Song Thrush,Turdus philomelos,6.0,9.0,0.1107952818274498,Turdus philomelos_Song Thrush,20250610_120100.WAV,20250610_120100,3.0
Carolina Wren,Thryothorus ludovicianus,9.0,12.0,0.1098228245973587,Thryothorus ludovicianus_Carolina Wren,20250610_120100.WAV,20250610_120100,3.0
Carolina Wren,Thryothorus ludovicianus,12.0,15.0,0.5450253486633301,Thryothorus ludovicianus_Carolina Wren,20250610_120100.WAV,20250610_120100,3.0
Pacific-slope Flycatcher,Empidonax difficilis,12.0,15.0,0.28404468297958374,Empidonax difficilis_Pacific-slope Flycatcher,20250610_120100.WAV,20250610_120100,3.0
Carolina Wren,Thryothorus ludovicianus,18.0,21.0,0.20280812680721283,Thryothorus ludovicianus_Carolina Wren,20250610_120100.WAV,20250610_120100,3.0
Golden-cheeked Warbler,Setophaga chrysoparia,18.0,21.0,0.11845698207616806,Setophaga chrysoparia_Golden-cheeked Warbler,20250610_120100.WAV,20250610_120100,3.0
Northern Mockingbird,Mimus polyglottos,24.0,27.0,0.3099839687347412,Mimus polyglottos_Northern Mockingbird,20250610_120100.WAV,20250610_120100,3.0
Northern Mockingbird,Mimus polyglottos,27.0,30.0,0.3936344087123871,Mimus polyglottos_Northern Mockingbird,20250610_120100.WAV,20250610_120100,3.0
Tufted Titmouse,Baeolophus bicolor,27.0,30.0,0.1629323661327362,Baeolophus bicolor_Tufted Titmouse,20250610_120100.WAV,20250610_120100,3.0
Cactus Wren,Campylorhynchus brunneicapillus,33.0,36.0,0.5862966775894165,Campylorhynchus brunneicapillus_Cactus Wren,20250610_120100.WAV,20250610_120100,3.0
Red-tailed Hawk,Buteo jamaicensis,33.0,36.0,0.22549347579479218,Buteo jamaicensis_Red-tailed Hawk,20250610_120100.WAV,20250610_120100,3.0
Northern Mockingbird,Mimus polyglottos,36.0,39.0,0.18891426920890808,Mimus polyglottos_Northern Mockingbird,20250610_120100.WAV,20250610_120100,3.0
Red Kite,Milvus milvus,36.0,39.0,0.14223556220531464,Milvus milvus_Red Kite,20250610_120100.WAV,20250610_120100,3.0
Red-tailed Hawk,Buteo jamaicensis,36.0,39.0,0.11534003913402557,Buteo jamaicensis_Red-tailed Hawk,20250610_120100.WAV,20250610_120100,3.0
Carolina Wren,Thryothorus ludovicianus,51.0,54.0,0.3345235586166382,Thryothorus ludovicianus_Carolina Wren,20250610_120100.WAV,20250610_120100,3.0
Carolina Wren,Thryothorus ludovicianus,0.0,3.0,0.10431793332099915,Thryothorus ludovicianus_Carolina Wren,20250610_120200.WAV,20250610_120200,3.0
Painted Bunting,Passerina ciris,6.0,9.0,0.18357130885124207,Passerina ciris_Painted Bunting,20250610_120200.WAV,20250610_120200,3.0
Prothonotary Warbler,Protonotaria citrea,15.0,18.0,0.23735986649990082,Protonotaria citrea_Prothonotary Warbler,20250610_120200.WAV,20250610_120200,3.0
Northern Cardinal,Cardinalis cardinalis,15.0,18.0,0.10932208597660065,Cardinalis cardinalis_Northern Cardinal,20250610_120200.WAV,20250610_120200,3.0
Northern Cardinal,Cardinalis cardinalis,21.0,24.0,0.23163090646266937,Cardinalis cardinalis_Northern Cardinal,20250610_120200.WAV,20250610_120200,3.0
Carolina Wren,Thryothorus ludovicianus,21.0,24.0,0.17844970524311066,Thryothorus ludovicianus_Carolina Wren,20250610_120200.WAV,20250610_120200,3.0
Engine,Engine,24.0,27.0,0.10049048811197281,Engine_Engine,20250610_120200.WAV,20250610_120200,3.0
Northern Cardinal,Cardinalis cardinalis,33.0,36.0,0.24913308024406433,Cardinalis cardinalis_Northern Cardinal,20250610_120200.WAV,20250610_120200,3.0
Carolina Wren,Thryothorus ludovicianus,33.0,36.0,0.2046077400445938,Thryothorus ludovicianus_Carolina Wren,20250610_120200.WAV,20250610_120200,3.0
Eastern Bluebird,Sialia sialis,36.0,39.0,0.13122230768203735,Sialia sialis_Eastern Bluebird,20250610_120200.WAV,20250610_120200,3.0
Common Grackle,Quiscalus quiscula,39.0,42.0,0.3340749442577362,Quiscalus quiscula_Common Grackle,20250610_120200.WAV,20250610_120200,3.0
Mourning Dove,Zenaida macroura,45.0,48.0,0.15218591690063477,Zenaida macroura_Mourning Dove,20250610_120200.WAV,20250610_120200,3.0
Prothonotary Warbler,Protonotaria citrea,48.0,51.0,0.2451452612876892,Protonotaria citrea_Prothonotary Warbler,20250610_120200.WAV,20250610_120200,3.0
Northern Cardinal,Cardinalis cardinalis,48.0,51.0,0.2174781709909439,Cardinalis cardinalis_Northern Cardinal,20250610_120200.WAV,20250610_120200,3.0
Carolina Wren,Thryothorus ludovicianus,0.0,3.0,0.2772747278213501,Thryothorus ludovicianus_Carolina Wren,20250610_120300.WAV,20250610_120300,3.0
Northern Cardinal,Cardinalis cardinalis,0.0,3.0,0.13967590034008026,Cardinalis cardinalis_Northern Cardinal,20250610_120300.WAV,20250610_120300,3.0
Northern Cardinal,Cardinalis cardinalis,3.0,6.0,0.37148958444595337,Cardinalis cardinalis_Northern Cardinal,20250610_120300.WAV,20250610_120300,3.0
Ruby-throated Hummingbird,Archilochus colubris,3.0,6.0,0.15671494603157043,Archilochus colubris_Ruby-throated Hummingbird,20250610_120300.WAV,20250610_120300,3.0
Prothonotary Warbler,Protonotaria citrea,3.0,6.0,0.10136905312538147,Protonotaria citrea_Prothonotary Warbler,20250610_120300.WAV,20250610_120300,3.0
